50,80000,26000,0.71,24.5,210
48,75000,24000,0.63,24.8,202
46,70000,22000,0.55,24.8,195
44,65000,19000,0.48,24.8,187
42,60000,16000,0.4,24.9,179
40,57000,14000,0.34,25,171
38,55000,12000,0.28,25,163
36,50000,10000,0.22,25,154
34,45000,8000,0.19,25.1,145
32,41000,6000,0.15,25.1,138
30,38000,4000,0.12,25.1,129
25,30000,0,0.07,25.1,108
20,25000,0,0.02,25.1,86
15,19000,0,0,25.1,62
10,15000,0,0,25.1,40
5,14000,0,0,25.1,0
0,14000,0,0,25.1,0
