4.4,99.9,98.2,43,69.4
4,99.8,98.3,41.7,69.2
3.5,99,98.2,39.5,68.3
3.2,99,98.2,37.9,67.6
2.3,99,98.2,36.4,67.1
2.3,99,98.2,34.6,66.8
